class,Argumentation,Sentiment,Valuation,Modalization,Pressupposition,Vagueness,Outrage,line,Punctuation,Unique_words
0,0.496406,0.435601,0.531085,0.513814,0.37483599999999995,0.502734,0.40241800000000005,o mec tambem lancou o programa novos caminhos que criara milhao de matriculas na educacao profissional aumentando em ate o final de nosso mandato as faculdades sao fundamentais contudo o ensino tecnico e motor para o retorno do dinheiro do contribuinte ,0,35
0,0.48219999999999996,0.438037,0.517877,0.503272,0.375745,0.504479,0.385622,outra boa noticia e o inicio da mudanca do rumo da educacao com as escolas civico militares o problema do brasil nao e apenas financeiro mas principalmente moral vamos resgatar nosso jovens abrahamweint,1,29
0,0.48936599999999997,0.454588,0.5356540000000001,0.516113,0.398582,0.505367,0.437871,o mec comunicacao anuncia o descontingenciamento de cerca de r bilhao para as universidades e institutos federais comisso despesas de custeio para pagamento estao liberadas em pegamos um orcamento esfacelado contudo vamos organizando o brasil ,0,30
0,0.504416,0.46094599999999997,0.5468770000000001,0.526522,0.425319,0.53488,0.41164199999999995,a desonestidade ainda persiste na politica o espertalhao da vez agora e o governador de pernambuco do psb mas o povo de bem reage as mentiras ,0,23
0,0.39853000000000005,0.41040200000000004,0.46003400000000005,0.417481,0.2817569999999999,0.436771,0.308006,caroldetoni forte abraco deputada ,1,4
0,0.4385,0.40935,0.509684,0.4783029999999999,0.344939,0.468344,0.3198810000000001,mais empregos segundo dados do caged foram gerados em setembro mais de mil novos postos de trabalho o melhor resultado para o mes em anos nordeste foi a regiao com maior saldo no acumulado do ano mais de mil novos empregos estamos mudando o brasil para melhor ,1,34
0,0.462874,0.438187,0.534437,0.500941,0.374521,0.499066,0.380521,em florianopolis com sf moro para uma serie de compromissos participamos de curto treino de tiro na inauguracao de um complexo de unidade de tiros bem como visitamos mil alunos em turmas do curso de formacao da prfbrasil em vargem pequena no norte da ilha ,0,36
0,0.44066000000000005,0.41905100000000006,0.508038,0.477495,0.354062,0.46735799999999994,0.344244,nova fase de pagamento do pis pasep injeta mais de r bilhoes na economia beneficiando cerca de milhoes de trabalhadores fgts sera liberado tambem para os aniversariantes de janeiro sao r bilhao para milhoes de beneficiarios ,0,28
0,0.46660500000000005,0.44437399999999994,0.533918,0.49241899999999994,0.367695,0.49435399999999996,0.380374,com a deteccao do aparecimento de petroleo no litoral do nordeste no inicio de setembro o governo federal montou mais numa forca tarefa para interceder agentes ambientais e funcionarios da petrobras participam da operacao coordenada pelo ibama infos mmeioambiente,0,35
0,0.44032499999999997,0.41263800000000006,0.495969,0.455044,0.32567999999999997,0.478788,0.344855,entenda um dos processos citados pelo ministro tarcisio fora o investimento em aeroportos,0,13
